-0.700000 -0.351500 0.155000  -0.664000 -0.344000 0.656000
-0.663400 -0.351500 0.182900  -0.304000 -0.080000 0.944000
-0.700000 -0.401700 0.124500  -0.664000 -0.408000 0.616000
-0.650000 -0.385200 0.182900  -0.496000 -0.152000 0.848000
-0.650000 -0.401700 0.178700  -0.552000 -0.344000 0.752000
-0.644900 -0.401700 0.182900  -0.528000 -0.240000 0.808000
-0.650000 -0.451900 0.140100  -0.528000 -0.568000 0.624000
-0.600000 -0.446800 0.182900  -0.240000 -0.464000 0.848000
-0.600000 -0.451900 0.179400  -0.216000 -0.496000 0.832000
-0.583500 -0.451900 0.182900  -0.128000 -0.544000 0.824000
-0.600000 -0.495400 0.121900  -0.392000 -0.720000 0.560000
-0.550000 -0.456500 0.182900  0.056000 -0.736000 0.672000
-0.550000 -0.494000 0.121900  0.024000 -0.832000 0.536000
-0.600000 -0.495400 0.121900  -0.392000 -0.720000 0.560000
-0.550000 -0.502100 0.104800  0.104000 -0.840000 0.520000
-0.600000 -0.502100 0.110700  -0.280000 -0.792000 0.528000
-0.550000 -0.532000 0.060900  0.080000 -0.776000 0.624000
-0.600000 -0.531600 0.060900  -0.448000 -0.736000 0.496000
-0.600000 -0.502100 0.110700  -0.280000 -0.792000 0.528000
-0.640700 -0.502100 0.060900  -0.496000 -0.728000 0.456000
-0.600000 -0.495400 0.121900  -0.392000 -0.720000 0.560000
-0.650000 -0.495900 0.060900  -0.528000 -0.720000 0.432000
-0.650000 -0.463300 0.121900  -0.512000 -0.696000 0.496000
-0.700000 -0.453200 0.060900  -0.560000 -0.720000 0.392000
-0.664200 -0.451900 0.121900  -0.552000 -0.696000 0.448000
-0.700000 -0.451900 0.063700  -0.672000 -0.600000 0.424000
-0.700000 -0.404000 0.121900  -0.624000 -0.536000 0.560000
-0.701000 -0.451900 0.060900  -0.792000 -0.480000 0.344000
-0.701700 -0.401700 0.121900  -0.704000 -0.408000 0.568000
-0.731300 -0.401700 0.060900  -0.784000 -0.496000 0.344000
-0.739400 -0.351500 0.121900  -0.528000 -0.576000 0.616000
-0.750000 -0.377100 0.060900  -0.760000 -0.552000 0.320000
-0.750000 -0.351500 0.110100  -0.600000 -0.584000 0.536000
-0.767900 -0.351500 0.060900  -0.760000 -0.568000 0.296000
-0.767900 -0.351500 0.060900  -0.760000 -0.568000 0.296000
-0.750000 -0.301200 0.168400  -0.360000 -0.432000 0.816000
-0.750000 -0.301200 0.168400  -0.360000 -0.432000 0.816000
-0.700000 -0.301200 0.175400  -0.248000 -0.280000 0.920000
-0.750000 -0.342500 0.121900  -0.536000 -0.592000 0.592000
-0.700000 -0.351500 0.155000  -0.664000 -0.344000 0.656000
-0.739400 -0.351500 0.121900  -0.528000 -0.576000 0.616000
-0.700000 -0.401700 0.124500  -0.664000 -0.408000 0.616000
-0.701700 -0.401700 0.121900  -0.704000 -0.408000 0.568000
-0.700000 -0.404000 0.121900  -0.624000 -0.536000 0.560000
-0.700000 -0.401700 0.124500  -0.664000 -0.408000 0.616000
-0.664200 -0.451900 0.121900  -0.552000 -0.696000 0.448000
-0.650000 -0.401700 0.178700  -0.552000 -0.344000 0.752000
-0.650000 -0.451900 0.140100  -0.528000 -0.568000 0.624000
-0.664200 -0.451900 0.121900  -0.552000 -0.696000 0.448000
-0.650000 -0.463300 0.121900  -0.512000 -0.696000 0.496000
-0.650000 -0.451900 0.140100  -0.528000 -0.568000 0.624000
-0.600000 -0.495400 0.121900  -0.392000 -0.720000 0.560000
-0.600000 -0.451900 0.179400  -0.216000 -0.496000 0.832000
-0.600000 -0.451900 0.179400  -0.216000 -0.496000 0.832000
-0.700000 -0.062200 0.121900  0.504000 0.344000 0.784000
-0.700000 -0.062200 0.121900  0.504000 0.344000 0.784000
-0.677900 -0.100400 0.121900  0.528000 0.328000 0.776000
-0.700000 -0.100400 0.138900  0.488000 0.288000 0.816000
-0.650000 -0.141800 0.121900  0.432000 0.328000 0.832000
-0.700000 -0.150600 0.164200  0.408000 0.248000 0.872000
-0.650000 -0.150600 0.126000  0.408000 0.336000 0.840000
-0.700000 -0.200800 0.182200  0.152000 0.072000 0.984000
-0.650000 -0.200800 0.153500  0.376000 0.280000 0.872000
-0.650000 -0.150600 0.126000  0.408000 0.336000 0.840000
-0.600000 -0.200800 0.130000  0.152000 0.560000 0.808000
-0.642900 -0.150600 0.121900  0.408000 0.352000 0.832000
-0.600000 -0.190600 0.121900  0.296000 0.496000 0.808000
-0.600000 -0.150600 0.080700  0.576000 0.424000 0.688000
-0.559300 -0.200800 0.121900  0.160000 0.720000 0.672000
-0.575700 -0.150600 0.060900  0.384000 0.664000 0.632000
-0.550000 -0.200800 0.118700  0.032000 0.784000 0.608000
-0.550000 -0.166800 0.060900  0.264000 0.816000 0.504000
-0.575700 -0.150600 0.060900  0.384000 0.664000 0.632000
-0.550000 -0.150600 0.029600  0.504000 0.688000 0.512000
-0.600000 -0.122400 0.060900  0.616000 0.400000 0.664000
-0.550000 -0.125000 0.000000  0.608000 0.616000 0.488000
-0.600000 -0.100400 0.044600  0.672000 0.336000 0.656000
-0.565600 -0.100400 0.000000  0.744000 0.440000 0.496000
-0.550000 -0.125000 0.000000  0.608000 0.616000 0.488000
-0.550000 -0.100400 -0.036900  0.792000 0.376000 0.464000
-0.550000 -0.100400 -0.036900  0.792000 0.376000 0.464000
-0.650000 -0.150600 0.126000  0.408000 0.336000 0.840000
-0.650000 -0.150600 0.126000  0.408000 0.336000 0.840000
-0.650000 -0.141800 0.121900  0.432000 0.328000 0.832000
-0.642900 -0.150600 0.121900  0.408000 0.352000 0.832000
-0.650000 -0.100400 0.096100  0.592000 0.288000 0.744000
-0.600000 -0.150600 0.080700  0.576000 0.424000 0.688000
-0.612900 -0.100400 0.060900  0.624000 0.376000 0.672000
-0.600000 -0.122400 0.060900  0.616000 0.400000 0.664000
-0.600000 -0.100400 0.044600  0.672000 0.336000 0.656000
-0.600000 -0.100400 0.044600  0.672000 0.336000 0.656000
-0.600000 -0.190600 0.121900  0.296000 0.496000 0.808000
-0.600000 -0.190600 0.121900  0.296000 0.496000 0.808000
-0.559300 -0.200800 0.121900  0.160000 0.720000 0.672000
-0.600000 -0.200800 0.130000  0.152000 0.560000 0.808000
-0.550000 -0.202900 0.121900  0.032000 0.728000 0.680000
-0.600000 -0.251000 0.177800  0.080000 0.520000 0.840000
-0.550000 -0.251000 0.173600  -0.016000 0.472000 0.872000
-0.550000 -0.251000 0.173600  -0.016000 0.472000 0.872000
-0.500000 -0.200800 0.127000  -0.088000 0.600000 0.784000
-0.500000 -0.200800 0.127000  -0.088000 0.600000 0.784000
-0.450000 -0.200800 0.150000  -0.304000 0.608000 0.720000
-0.500000 -0.196200 0.121900  -0.112000 0.784000 0.600000
-0.450000 -0.173700 0.121900  -0.368000 0.648000 0.656000
-0.500000 -0.166600 0.060900  -0.304000 0.832000 0.448000
-0.450000 -0.150600 0.089400  -0.440000 0.744000 0.496000
-0.472400 -0.150600 0.060900  -0.464000 0.768000 0.416000
-0.450000 -0.136300 0.060900  -0.512000 0.720000 0.448000
-0.500000 -0.150600 0.019400  -0.216000 0.856000 0.464000
-0.450000 -0.112700 0.000000  -0.520000 0.784000 0.320000
-0.500000 -0.141000 0.000000  -0.040000 0.880000 0.456000
-0.500000 -0.141000 0.000000  -0.040000 0.880000 0.456000
-0.500000 -0.200800 0.127000  -0.088000 0.600000 0.784000
-0.500000 -0.200800 0.127000  -0.088000 0.600000 0.784000
-0.500000 -0.249000 0.182900  -0.112000 0.656000 0.744000
-0.450000 -0.200800 0.150000  -0.304000 0.608000 0.720000
-0.450000 -0.233700 0.182900  -0.216000 0.472000 0.848000
-0.400000 -0.200800 0.179200  -0.200000 0.464000 0.856000
-0.400000 -0.206800 0.182900  -0.168000 0.424000 0.880000
-0.383500 -0.200800 0.182900  -0.152000 0.448000 0.872000
-0.400000 -0.200800 0.179200  -0.200000 0.464000 0.856000
-0.350000 -0.189600 0.182900  -0.288000 0.472000 0.824000
-0.400000 -0.150600 0.133500  -0.392000 0.600000 0.688000
-0.350000 -0.150600 0.151300  -0.584000 0.352000 0.720000
-0.350000 -0.189600 0.182900  -0.288000 0.472000 0.824000
-0.311100 -0.150600 0.182900  -0.424000 0.464000 0.768000
-0.311100 -0.150600 0.182900  -0.424000 0.464000 0.768000
-0.400000 -0.200800 0.179200  -0.200000 0.464000 0.856000
-0.400000 -0.200800 0.179200  -0.200000 0.464000 0.856000
-0.450000 -0.200800 0.150000  -0.304000 0.608000 0.720000
-0.400000 -0.150600 0.133500  -0.392000 0.600000 0.688000
-0.450000 -0.173700 0.121900  -0.368000 0.648000 0.656000
-0.414900 -0.150600 0.121900  -0.424000 0.616000 0.648000
-0.450000 -0.150600 0.089400  -0.440000 0.744000 0.496000
-0.450000 -0.150600 0.089400  -0.440000 0.744000 0.496000
-0.351400 -0.100400 0.121900  -0.608000 0.368000 0.696000
-0.351400 -0.100400 0.121900  -0.608000 0.368000 0.696000
-0.350000 -0.097900 0.121900  -0.560000 0.424000 0.704000
-0.350000 -0.100400 0.123500  -0.608000 0.328000 0.712000
-0.300000 -0.066800 0.121900  -0.280000 0.584000 0.752000
-0.300000 -0.100400 0.149000  -0.304000 0.432000 0.840000
-0.255700 -0.050200 0.121900  -0.192000 0.512000 0.832000
-0.250000 -0.100400 0.155000  0.480000 0.160000 0.856000
-0.250000 -0.050200 0.123600  0.200000 0.440000 0.864000
-0.250000 -0.050200 0.123600  0.200000 0.440000 0.864000
-0.369700 -0.301200 0.182900  0.552000 -0.328000 0.752000
-0.369700 -0.301200 0.182900  0.552000 -0.328000 0.752000
-0.350000 -0.276800 0.182900  0.600000 -0.432000 0.664000
-0.350000 -0.301200 0.167500  0.592000 -0.368000 0.712000
-0.350000 -0.301200 0.167500  0.592000 -0.368000 0.712000
-0.334800 -0.251000 0.182900  0.672000 -0.480000 0.552000
-0.334800 -0.251000 0.182900  0.672000 -0.480000 0.552000
-0.300000 -0.205800 0.182900  0.768000 -0.472000 0.416000
-0.300000 -0.251000 0.131000  0.632000 -0.616000 0.464000
-0.300000 -0.251000 0.131000  0.632000 -0.616000 0.464000
-0.300000 -0.251000 0.131000  0.632000 -0.616000 0.464000
-0.300000 -0.251000 0.131000  0.632000 -0.616000 0.464000
-0.294600 -0.251000 0.121900  0.616000 -0.600000 0.488000
-0.300000 -0.256400 0.121900  0.624000 -0.624000 0.456000
-0.300000 -0.256400 0.121900  0.624000 -0.624000 0.456000
0.550000 0.331800 0.121900  -0.696000 0.536000 0.456000
0.550000 0.331800 0.121900  -0.696000 0.536000 0.456000
0.550000 0.301200 0.149100  -0.896000 -0.096000 0.416000
0.538800 0.301200 0.121900  -0.912000 0.128000 0.376000
0.538800 0.301200 0.121900  -0.912000 0.128000 0.376000
0.548800 0.251000 0.121900  -0.912000 -0.176000 0.360000
0.548800 0.251000 0.121900  -0.912000 -0.176000 0.360000
0.550000 0.251000 0.125100  -0.872000 -0.184000 0.440000
0.550000 0.246100 0.121900  -0.904000 -0.224000 0.352000
0.586200 0.251000 0.182900  -0.672000 -0.144000 0.720000
0.567500 0.200800 0.121900  -0.784000 -0.344000 0.504000
0.600000 0.211800 0.182900  -0.672000 -0.280000 0.672000
0.600000 0.200800 0.176700  -0.712000 -0.296000 0.624000
0.604600 0.200800 0.182900  -0.672000 -0.288000 0.664000
0.600000 0.150600 0.141200  -0.712000 -0.440000 0.536000
0.641000 0.150600 0.182900  -0.528000 -0.464000 0.696000
0.600000 0.134700 0.121900  -0.776000 -0.456000 0.424000
0.650000 0.141000 0.182900  -0.512000 -0.488000 0.704000
0.627900 0.100400 0.121900  -0.608000 -0.608000 0.504000
0.650000 0.100400 0.150000  -0.536000 -0.592000 0.592000
0.650000 0.080100 0.121900  -0.576000 -0.640000 0.496000
0.685300 0.100400 0.182900  -0.504000 -0.560000 0.648000
0.692100 0.050200 0.121900  -0.432000 -0.784000 0.424000
0.700000 0.088000 0.182900  -0.464000 -0.608000 0.640000
0.700000 0.050200 0.131500  -0.112000 -0.824000 0.544000
0.750000 0.062100 0.182900  -0.416000 -0.632000 0.648000
0.744700 0.050200 0.121900  0.096000 -0.864000 0.480000
0.750000 0.050900 0.121900  0.096000 -0.792000 0.600000
0.750000 0.050200 0.120200  -0.160000 -0.904000 0.376000
0.751700 0.050200 0.121900  -0.392000 -0.816000 0.416000
0.750000 0.031700 0.060900  -0.136000 -0.928000 0.336000
0.800000 0.028400 0.121900  -0.376000 -0.808000 0.432000
0.798100 0.000000 0.060900  -0.504000 -0.792000 0.312000
0.800000 0.000000 0.064400  -0.576000 -0.736000 0.344000
0.800000 -0.001000 0.060900  -0.584000 -0.776000 0.216000
0.829700 0.000000 0.121900  -0.704000 -0.616000 0.344000
0.843600 -0.050200 0.060900  -0.704000 -0.672000 0.184000
0.850000 -0.029600 0.121900  -0.840000 -0.432000 0.312000
0.850000 -0.050200 0.089500  -0.768000 -0.592000 0.216000
0.857500 -0.050200 0.121900  -0.848000 -0.448000 0.272000
0.850000 -0.056700 0.060900  -0.720000 -0.664000 0.176000
0.892500 -0.100400 0.121900  -0.688000 -0.680000 0.240000
0.881900 -0.100400 0.060900  -0.752000 -0.632000 0.152000
0.850000 -0.056700 0.060900  -0.720000 -0.664000 0.176000
0.873300 -0.100400 0.000000  -0.752000 -0.632000 0.120000
0.850000 -0.068700 0.000000  -0.752000 -0.640000 0.136000
0.865600 -0.100400 -0.060900  -0.776000 -0.616000 0.120000
0.850000 -0.079400 -0.060900  -0.768000 -0.616000 0.120000
0.858300 -0.100400 -0.121900  -0.792000 -0.600000 0.056000
0.850000 -0.088400 -0.121900  -0.808000 -0.584000 0.016000
0.858100 -0.100400 -0.182900  -0.824000 -0.552000 0.000000
0.850000 -0.086900 -0.182900  -0.848000 -0.512000 -0.048000
0.860900 -0.100400 -0.243900  -0.856000 -0.496000 -0.072000
0.850000 -0.077200 -0.243900  -0.824000 -0.432000 -0.344000
0.869700 -0.100400 -0.304800  -0.880000 -0.248000 -0.400000
0.850000 -0.050200 -0.276700  -0.784000 -0.280000 -0.544000
0.867300 -0.050200 -0.304800  -0.784000 -0.136000 -0.600000
0.850000 0.000000 -0.279000  -0.536000 0.488000 -0.680000
0.877300 0.000000 -0.304800  -0.592000 0.480000 -0.632000
0.877300 0.000000 -0.304800  -0.592000 0.480000 -0.632000
0.600000 0.150600 0.141200  -0.712000 -0.440000 0.536000
0.600000 0.150600 0.141200  -0.712000 -0.440000 0.536000
0.600000 0.200800 0.176700  -0.712000 -0.296000 0.624000
0.591100 0.150600 0.121900  -0.792000 -0.400000 0.440000
0.567500 0.200800 0.121900  -0.784000 -0.344000 0.504000
0.560700 0.150600 0.060900  -0.704000 -0.368000 0.592000
0.550000 0.200800 0.086900  -0.880000 -0.256000 0.392000
0.550000 0.174700 0.060900  -0.744000 -0.320000 0.576000
0.538800 0.200800 0.060900  -0.824000 -0.216000 0.520000
0.550000 0.150600 0.048400  -0.632000 -0.416000 0.640000
0.500000 0.200800 0.008600  -0.576000 -0.176000 0.792000
0.510200 0.150600 0.000000  -0.752000 -0.384000 0.520000
0.500000 0.181600 0.000000  -0.600000 -0.304000 0.728000
0.500000 0.150600 -0.020200  -0.704000 -0.472000 0.520000
0.488800 0.200800 0.000000  -0.512000 0.024000 0.856000
0.460500 0.150600 -0.060900  -0.624000 -0.512000 0.584000
0.450000 0.200800 -0.035500  -0.536000 -0.264000 0.792000
0.450000 0.163500 -0.060900  -0.600000 -0.504000 0.608000
0.416500 0.200800 -0.060900  -0.560000 -0.352000 0.744000
0.450000 0.150600 -0.075000  -0.616000 -0.488000 0.608000
0.400000 0.200800 -0.077800  -0.600000 -0.432000 0.664000
0.401900 0.150600 -0.121900  -0.864000 -0.496000 -0.024000
0.400000 0.152400 -0.121900  -0.688000 -0.712000 -0.048000
0.407800 0.150600 -0.182900  -0.544000 -0.240000 -0.800000
0.400000 0.155900 -0.182900  -0.216000 -0.144000 -0.960000
0.450000 0.150600 -0.187200  -0.088000 0.168000 -0.976000
0.400000 0.200800 -0.189400  -0.152000 -0.072000 -0.984000
0.450000 0.200800 -0.192400  -0.128000 -0.040000 -0.984000
0.400000 0.251000 -0.186400  -0.152000 0.040000 -0.984000
0.450000 0.251000 -0.188200  -0.104000 0.040000 -0.992000
0.400000 0.301200 -0.184200  -0.016000 -0.016000 -0.992000
0.450000 0.301200 -0.186200  0.000000 -0.016000 -0.992000
0.400000 0.351500 -0.194500  0.000000 0.072000 -0.992000
0.450000 0.351500 -0.196000  0.120000 0.128000 -0.976000
0.400000 0.377300 -0.182900  0.016000 0.320000 -0.944000
0.450000 0.373800 -0.182900  0.104000 0.432000 -0.888000
0.400000 0.401700 -0.171200  0.088000 0.472000 -0.872000
0.450000 0.401700 -0.160800  0.376000 0.656000 -0.640000
0.400000 0.432800 -0.121900  0.160000 0.904000 -0.384000
0.450000 0.422200 -0.121900  0.368000 0.832000 -0.392000
0.400000 0.419800 -0.060900  0.080000 0.848000 0.520000
0.450000 0.414500 -0.060900  0.192000 0.928000 0.304000
0.400000 0.401700 -0.034800  -0.040000 0.584000 0.808000
0.450000 0.401700 -0.038900  -0.120000 0.592000 0.784000
0.400000 0.351500 -0.018700  -0.136000 -0.208000 0.960000
0.450000 0.351500 -0.003200  -0.296000 0.344000 0.888000
0.450000 0.401700 -0.038900  -0.120000 0.592000 0.784000
0.458200 0.351500 0.000000  -0.280000 0.520000 0.800000
0.500000 0.401700 -0.057700  0.096000 0.864000 0.480000
0.500000 0.369100 0.000000  -0.184000 0.800000 0.552000
0.517100 0.401700 -0.060900  0.080000 0.968000 0.224000
0.550000 0.388900 0.000000  -0.392000 0.856000 0.320000
0.550000 0.398000 -0.060900  0.000000 0.968000 -0.216000
0.517100 0.401700 -0.060900  0.080000 0.968000 0.224000
0.550000 0.362300 -0.121900  0.400000 0.656000 -0.632000
0.500000 0.401700 -0.069300  0.168000 0.952000 -0.216000
0.500000 0.393600 -0.121900  0.504000 0.744000 -0.432000
0.488600 0.401700 -0.121900  0.504000 0.776000 -0.368000
0.500000 0.355500 -0.182900  0.400000 0.616000 -0.664000
0.450000 0.401700 -0.160800  0.376000 0.656000 -0.640000
0.450000 0.373800 -0.182900  0.104000 0.432000 -0.888000
0.500000 0.355500 -0.182900  0.400000 0.616000 -0.664000
0.450000 0.351500 -0.196000  0.120000 0.128000 -0.976000
0.500000 0.351500 -0.187300  0.416000 0.568000 -0.696000
0.450000 0.301200 -0.186200  0.000000 -0.016000 -0.992000
0.500000 0.301200 -0.193500  0.168000 0.072000 -0.976000
0.450000 0.251000 -0.188200  -0.104000 0.040000 -0.992000
0.500000 0.251000 -0.199400  0.072000 0.096000 -0.984000
0.450000 0.200800 -0.192400  -0.128000 -0.040000 -0.984000
0.500000 0.200800 -0.200200  -0.104000 -0.048000 -0.992000
0.450000 0.150600 -0.187200  -0.088000 0.168000 -0.976000
0.500000 0.150600 -0.194400  -0.208000 0.240000 -0.944000
0.450000 0.100400 -0.233000  -0.008000 0.816000 -0.568000
0.500000 0.100400 -0.210700  0.048000 0.704000 -0.704000
0.450000 0.095300 -0.243900  -0.008000 0.856000 -0.512000
0.500000 0.082500 -0.243900  0.216000 0.832000 -0.504000
0.450000 0.055500 -0.304800  0.064000 0.864000 -0.496000
0.500000 0.050200 -0.303800  0.264000 0.816000 -0.504000
0.496000 0.050200 -0.304800  0.104000 0.800000 -0.576000
0.500000 0.049600 -0.304800  0.264000 0.736000 -0.616000
0.450000 0.050200 -0.314200  0.064000 0.744000 -0.656000
0.500000 0.014000 -0.365800  0.216000 0.784000 -0.568000
0.450000 0.007700 -0.365800  -0.264000 0.744000 -0.600000
0.500000 0.000000 -0.393700  0.528000 0.072000 -0.840000
0.450000 0.000000 -0.377000  -0.360000 0.400000 -0.840000
0.500000 -0.027200 -0.365800  0.264000 -0.576000 -0.768000
0.450000 -0.014200 -0.365800  -0.336000 -0.568000 -0.744000
0.500000 -0.050200 -0.339600  -0.136000 -0.672000 -0.720000
0.450000 -0.050200 -0.325200  -0.120000 -0.568000 -0.808000
0.450000 -0.014200 -0.365800  -0.336000 -0.568000 -0.744000
0.400000 -0.050200 -0.360800  0.184000 -0.432000 -0.872000
0.431500 0.000000 -0.365800  -0.424000 0.312000 -0.840000
0.400000 0.000000 -0.343200  -0.216000 0.592000 -0.768000
0.450000 0.007700 -0.365800  -0.264000 0.744000 -0.600000
0.400000 0.041200 -0.304800  -0.352000 0.672000 -0.648000
0.450000 0.050200 -0.314200  0.064000 0.744000 -0.656000
0.419200 0.050200 -0.304800  -0.224000 0.736000 -0.632000
0.450000 0.055500 -0.304800  0.064000 0.864000 -0.496000
0.400000 0.050200 -0.294000  -0.352000 0.672000 -0.640000
0.450000 0.095300 -0.243900  -0.008000 0.856000 -0.512000
0.400000 0.083700 -0.243900  -0.328000 0.768000 -0.536000
0.450000 0.100400 -0.233000  -0.008000 0.816000 -0.568000
0.400000 0.100400 -0.207800  -0.424000 0.688000 -0.576000
0.450000 0.150600 -0.187200  -0.088000 0.168000 -0.976000
0.400000 0.146600 -0.182900  -0.440000 0.464000 -0.760000
0.407800 0.150600 -0.182900  -0.544000 -0.240000 -0.800000
0.400000 0.100400 -0.150800  -0.768000 0.376000 0.512000
0.401900 0.150600 -0.121900  -0.864000 -0.496000 -0.024000
0.415000 0.100400 -0.121900  -0.640000 0.192000 0.736000
0.450000 0.150600 -0.075000  -0.616000 -0.488000 0.608000
0.450000 0.100400 -0.090700  -0.384000 -0.320000 0.856000
0.460500 0.150600 -0.060900  -0.624000 -0.512000 0.584000
0.500000 0.100400 -0.067100  -0.632000 -0.296000 0.704000
0.500000 0.107000 -0.060900  -0.608000 -0.480000 0.616000
0.504600 0.100400 -0.060900  -0.704000 -0.248000 0.656000
0.500000 0.150600 -0.020200  -0.704000 -0.472000 0.520000
0.550000 0.100400 -0.005700  -0.672000 -0.576000 0.448000
0.510200 0.150600 0.000000  -0.752000 -0.384000 0.520000
0.550000 0.104000 0.000000  -0.664000 -0.568000 0.464000
0.550000 0.150600 0.048400  -0.632000 -0.416000 0.640000
0.553100 0.100400 0.000000  -0.664000 -0.576000 0.464000
0.560700 0.150600 0.060900  -0.704000 -0.368000 0.592000
0.593200 0.100400 0.060900  -0.640000 -0.584000 0.496000
0.591100 0.150600 0.121900  -0.792000 -0.400000 0.440000
0.600000 0.100400 0.071800  -0.648000 -0.592000 0.472000
0.600000 0.134700 0.121900  -0.776000 -0.456000 0.424000
0.627900 0.100400 0.121900  -0.608000 -0.608000 0.504000
0.600000 0.100400 0.071800  -0.648000 -0.592000 0.472000
0.650000 0.080100 0.121900  -0.576000 -0.640000 0.496000
0.600000 0.093600 0.060900  -0.624000 -0.616000 0.464000
0.650000 0.050200 0.073400  -0.576000 -0.624000 0.512000
0.641200 0.050200 0.060900  -0.600000 -0.608000 0.512000
0.650000 0.041800 0.060900  -0.568000 -0.648000 0.504000
0.602900 0.050200 0.000000  -0.576000 -0.704000 0.400000
0.650000 0.013100 0.000000  -0.448000 -0.792000 0.392000
0.600000 0.050200 -0.005300  -0.440000 -0.752000 0.480000
0.650000 0.000000 -0.040500  0.104000 -0.944000 0.296000
0.600000 0.000000 -0.044900  -0.016000 -0.720000 0.688000
0.650000 -0.010200 -0.060900  0.168000 -0.784000 0.592000
0.600000 -0.012300 -0.060900  0.104000 -0.576000 0.800000
0.650000 -0.033500 -0.121900  0.512000 -0.672000 0.520000
0.600000 -0.050200 -0.088500  0.448000 -0.400000 0.792000
0.638000 -0.050200 -0.121900  0.800000 -0.536000 0.256000
0.600000 -0.100400 -0.077400  0.584000 0.048000 0.800000
0.626600 -0.100400 -0.121900  0.848000 0.208000 0.472000
0.638000 -0.050200 -0.121900  0.800000 -0.536000 0.256000
0.638900 -0.100400 -0.182900  0.920000 0.368000 0.072000
0.649100 -0.050200 -0.182900  0.816000 -0.544000 0.144000
0.637300 -0.100400 -0.243900  0.848000 0.016000 -0.520000
0.637200 -0.050200 -0.243900  0.840000 -0.080000 -0.528000
0.604900 -0.100400 -0.304800  0.744000 -0.360000 -0.552000
0.600000 -0.050200 -0.286000  0.712000 0.144000 -0.680000
0.600000 -0.086300 -0.304800  0.440000 0.312000 -0.832000
0.587300 -0.050200 -0.304800  0.688000 0.056000 -0.712000
0.589400 -0.100400 -0.304800  -0.440000 -0.424000 -0.784000
0.550000 -0.083700 -0.304800  0.088000 -0.736000 -0.664000
0.550000 -0.100400 -0.280800  -0.008000 -0.528000 -0.840000
0.500000 -0.082600 -0.304800  0.216000 -0.680000 -0.688000
0.500000 -0.100400 -0.277800  0.560000 -0.104000 -0.816000
0.475800 -0.100400 -0.304800  0.512000 -0.104000 -0.848000
0.500000 -0.127100 -0.304800  0.480000 0.456000 -0.744000
0.500000 -0.100400 -0.277800  0.560000 -0.104000 -0.816000
0.523400 -0.150600 -0.304800  0.376000 0.592000 -0.704000
0.550000 -0.100400 -0.280800  -0.008000 -0.528000 -0.840000
0.550000 -0.150600 -0.287800  0.352000 0.528000 -0.768000
0.589400 -0.100400 -0.304800  -0.440000 -0.424000 -0.784000
0.600000 -0.150600 -0.265200  0.248000 0.032000 -0.960000
0.600000 -0.105700 -0.304800  0.312000 -0.728000 -0.600000
0.650000 -0.150600 -0.274900  0.544000 0.464000 -0.688000
0.604900 -0.100400 -0.304800  0.744000 -0.360000 -0.552000
0.650000 -0.120200 -0.243900  0.704000 0.520000 -0.472000
0.637300 -0.100400 -0.243900  0.848000 0.016000 -0.520000
0.650000 -0.117900 -0.182900  0.792000 0.600000 0.024000
0.638900 -0.100400 -0.182900  0.920000 0.368000 0.072000
0.650000 -0.146100 -0.121900  0.720000 0.504000 0.464000
0.626600 -0.100400 -0.121900  0.848000 0.208000 0.472000
0.626600 -0.100400 -0.121900  0.848000 0.208000 0.472000
0.591100 0.150600 0.121900  -0.792000 -0.400000 0.440000
0.591100 0.150600 0.121900  -0.792000 -0.400000 0.440000
0.600000 0.150600 0.141200  -0.712000 -0.440000 0.536000
0.600000 0.134700 0.121900  -0.776000 -0.456000 0.424000
0.600000 0.134700 0.121900  -0.776000 -0.456000 0.424000
0.650000 0.141000 0.182900  -0.512000 -0.488000 0.704000
0.650000 0.141000 0.182900  -0.512000 -0.488000 0.704000
0.685300 0.100400 0.182900  -0.504000 -0.560000 0.648000
0.650000 0.100400 0.150000  -0.536000 -0.592000 0.592000
0.650000 0.100400 0.150000  -0.536000 -0.592000 0.592000
0.692100 0.050200 0.121900  -0.432000 -0.784000 0.424000
0.692100 0.050200 0.121900  -0.432000 -0.784000 0.424000
0.700000 0.050200 0.131500  -0.112000 -0.824000 0.544000
0.700000 0.046100 0.121900  -0.152000 -0.904000 0.376000
0.744700 0.050200 0.121900  0.096000 -0.864000 0.480000
0.700000 0.026800 0.060900  -0.288000 -0.896000 0.328000
0.750000 0.050200 0.120200  -0.160000 -0.904000 0.376000
0.750000 0.031700 0.060900  -0.136000 -0.928000 0.336000
0.700000 0.026800 0.060900  -0.288000 -0.896000 0.328000
0.750000 0.013300 0.000000  -0.240000 -0.936000 0.240000
0.700000 0.012000 0.000000  -0.032000 -0.960000 0.272000
0.750000 0.001600 -0.060900  -0.416000 -0.904000 -0.016000
0.700000 0.001400 -0.060900  0.088000 -0.968000 0.192000
0.750000 0.004300 -0.121900  -0.408000 -0.880000 -0.216000
0.700000 0.000400 -0.121900  0.224000 -0.968000 0.032000
0.750000 0.019900 -0.182900  -0.176000 -0.792000 -0.576000
0.700000 0.009000 -0.182900  0.456000 -0.744000 -0.472000
0.750000 0.050200 -0.223600  -0.168000 -0.552000 -0.808000
0.700000 0.050200 -0.225700  0.368000 -0.368000 -0.848000
0.750000 0.100400 -0.218500  0.200000 0.232000 -0.944000
